score,threshold,precision,recall,f1,predicted_positive
embedding_cosine,0.5,0.5,1.0,0.6666666666666666,40
embedding_cosine,0.6,0.5277777777777778,0.95,0.6785714285714286,36
embedding_cosine,0.7,0.5454545454545454,0.9,0.6792452830188679,33
embedding_cosine,0.78,0.6071428571428571,0.85,0.7083333333333334,28
embedding_cosine,0.82,0.6521739130434783,0.75,0.6976744186046512,23
embedding_cosine,0.85,0.875,0.7,0.7777777777777778,16
embedding_cosine,0.88,0.8666666666666667,0.65,0.7428571428571429,15
embedding_cosine,0.9,0.9090909090909091,0.5,0.6451612903225806,11
embedding_cosine,0.95,0.875,0.35,0.5,8
